iter	Passed	Remaining
699	1025	439
700	1026	437
701	1027	436
702	1029	434
703	1030	433
704	1031	431
705	1032	429
706	1033	428
707	1034	426
708	1036	425
709	1038	424
710	1040	422
711	1041	421
712	1042	419
713	1045	418
714	1047	417
715	1048	415
716	1049	414
717	1051	412
718	1052	411
719	1053	409
720	1054	407
721	1055	406
722	1056	404
723	1057	403
724	1059	401
725	1060	400
726	1061	398
727	1062	396
728	1063	395
729	1064	393
730	1065	392
731	1066	390
732	1067	388
733	1068	387
734	1069	385
735	1071	384
736	1073	383
737	1075	381
738	1076	380
739	1077	378
740	1078	376
741	1079	375
742	1080	373
743	1081	372
744	1083	370
745	1084	369
746	1085	367
747	1087	366
748	1088	364
749	1090	363
750	1092	362
751	1093	360
752	1095	359
753	1096	357
754	1098	356
755	1099	354
756	1100	353
757	1103	352
758	1105	350
759	1106	349
760	1108	348
761	1109	346
762	1110	344
763	1111	343
764	1112	341
765	1113	340
766	1114	338
767	1116	337
768	1117	335
769	1119	334
770	1120	332
771	1121	331
772	1122	329
773	1124	328
774	1125	326
775	1126	325
776	1127	323
777	1128	322
778	1129	320
779	1131	319
780	1132	317
781	1134	316
782	1135	314
783	1137	313
784	1138	311
785	1139	310
786	1140	308
787	1141	307
788	1142	305
789	1143	304
790	1145	302
791	1146	301
792	1147	299
793	1149	298
794	1150	296
795	1152	295
796	1153	293
797	1154	292
798	1155	290
799	1156	289
800	1157	287
801	1158	286
802	1159	284
803	1161	283
804	1162	281
805	1164	280
806	1166	279
807	1167	277
808	1168	275
809	1169	274
810	1170	272
811	1172	271
812	1173	269
813	1174	268
814	1175	266
815	1176	265
816	1177	263
817	1179	262
818	1180	260
819	1181	259
820	1183	257
821	1184	256
822	1185	254
823	1186	253
824	1188	252
825	1189	250
826	1190	249
827	1191	247
828	1192	245
829	1194	244
830	1196	243
831	1197	241
832	1198	240
833	1199	238
834	1200	237
835	1201	235
836	1202	234
837	1203	232
838	1204	231
839	1205	229
840	1207	228
841	1208	226
842	1210	225
843	1212	224
844	1213	222
845	1215	221
846	1216	219
847	1217	218
848	1218	216
849	1219	215
850	1220	213
851	1222	212
852	1223	210
853	1225	209
854	1226	208
855	1228	206
856	1229	205
857	1231	203
858	1232	202
859	1233	200
860	1235	199
861	1236	197
862	1237	196
863	1238	195
864	1240	193
865	1241	192
866	1242	190
867	1244	189
868	1245	187
869	1246	186
870	1247	184
871	1248	183
872	1249	181
873	1250	180
874	1251	178
875	1252	177
876	1254	175
877	1256	174
878	1257	173
879	1258	171
880	1259	170
881	1260	168
882	1261	167
883	1262	165
884	1263	164
885	1264	162
886	1266	161
887	1267	159
888	1268	158
889	1270	157
890	1272	155
891	1273	154
892	1275	152
893	1276	151
894	1277	149
895	1278	148
896	1279	146
897	1280	145
898	1281	144
899	1283	142
900	1284	141
901	1285	139
902	1287	138
903	1289	136
904	1290	135
905	1291	133
906	1292	132
907	1293	131
908	1294	129
909	1295	128
910	1296	126
911	1297	125
912	1299	123
913	1300	122
914	1301	120
915	1302	119
916	1304	118
917	1305	116
918	1306	115
919	1307	113
920	1309	112
921	1310	110
922	1311	109
923	1312	107
924	1314	106
925	1315	105
926	1317	103
927	1318	102
928	1320	100
929	1321	99
930	1322	97
931	1323	96
932	1324	95
933	1325	93
934	1326	92
935	1327	90
936	1329	89
937	1331	87
938	1332	86
939	1334	85
940	1335	83
941	1337	82
942	1338	80
943	1339	79
944	1340	78
945	1341	76
946	1342	75
947	1343	73
948	1346	72
949	1347	70
950	1349	69
951	1350	68
952	1351	66
953	1352	65
954	1353	63
955	1355	62
956	1356	60
957	1357	59
958	1358	58
959	1359	56
960	1361	55
961	1363	53
962	1364	52
963	1365	51
964	1367	49
965	1368	48
966	1369	46
967	1370	45
968	1371	43
969	1372	42
970	1373	41
971	1375	39
972	1376	38
973	1378	36
974	1380	35
975	1381	33
976	1382	32
977	1383	31
978	1384	29
979	1385	28
980	1386	26
981	1387	25
982	1389	24
983	1390	22
984	1392	21
985	1393	19
986	1394	18
987	1396	16
988	1397	15
989	1398	14
990	1399	12
991	1400	11
992	1401	9
993	1402	8
994	1403	7
995	1405	5
996	1407	4
997	1408	2
998	1409	1
999	1410	0
